level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	364	300	-1	
2	1	1	0	0	0	197	142	54	56	-1	
3	1	1	1	0	0	197	142	54	56	-1	
4	1	1	1	1	0	197	142	54	56	-1	
5	1	1	1	1	1	197	142	54	56	29.213177	这
